p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
46906434,Nad Al Shiba First,1077-,,,,,,,,,,,,,,1441.98,6184129,Meydan,,Public Facilities
46906436,Nad Al Shiba First,1078-,,,,,,,,,,,,,,1444.12,6184130,Meydan,,Public Facilities
47334801,Nad Al Shiba First,1079-,,,,,,,,,,,,,,3001.07,6184098,Meydan,,Public Facilities
10307509,Nad Al Shiba First,108-,,,,,,,,,,,,,,1393.42,6184124,Meydan,,Public Facilities
47334803,Nad Al Shiba First,1080-,,,,,,,,,,,,,,27120.27,6184086,Meydan,ROYAL PEARLS,Public Facilities
47334805,Nad Al Shiba First,1081-,,,,,,,,,,,,,,14558.34,6184082,Meydan,,Public Facilities
47334807,Nad Al Shiba First,1082-,,,,,,,,,,,,,,14220.32,6184081,Meydan,,Public Facilities
47334809,Nad Al Shiba First,1083-,,,,,,,,,,,,,,14325.92,6184080,Meydan,,Public Facilities
47334811,Nad Al Shiba First,1084-,,,,,,,,,,,,,,17704.04,6184084,Meydan,,Public Facilities
47334813,Nad Al Shiba First,1085-,,,,,,,,,,,,,,17191.02,6184083,Meydan,,Public Facilities
47334815,Nad Al Shiba First,1086-,,,,,,,,,,,,,,8763.66,6184089,Meydan,,Public Facilities
47334817,Nad Al Shiba First,1087-,,,,,,,,,,,,,,11359.07,6184090,Meydan,,Public Facilities
47334819,Nad Al Shiba First,1088-,,,,,,,,,,,,,,12835.93,6184091,Meydan,,Public Facilities
47334821,Nad Al Shiba First,1089-,,,,,,,,,,,,,,11626.99,6184092,Meydan,,Public Facilities
10307511,Nad Al Shiba First,109-,,,,,,,,,,,,,,1393.48,6189121,Meydan,,Public Facilities
47334823,Nad Al Shiba First,1090-,,,,,,,,,,,,,,7901.03,6184093,Meydan,,Public Facilities
47334825,Nad Al Shiba First,1091-,,,,,,,,,,,,,,22282.19,6184096,Meydan,,Public Facilities
78954874,Nad Al Shiba First,1094-,,,,,,,,,,,,,,1862.79,6184146,Meydan,,
78954896,Nad Al Shiba First,1095-,,,,,,,,,,,,,,1446.95,6184148,Meydan,,
78954898,Nad Al Shiba First,1096-,,,,,,,,,,,,,,1456.99,6184149,Meydan,,
78954900,Nad Al Shiba First,1097-,,,,,,,,,,,,,,1456.02,6184147,Meydan,,
78954079,Nad Al Shiba First,1098-,,,,,,,,,,,,,,1414.39,6184141,Meydan,,
78954081,Nad Al Shiba First,1099-,,,,,,,,,,,,,,1414.27,6184142,Meydan,,
10307513,Nad Al Shiba First,110-,,,,,,,,,,,,,,1393.48,6189122,Meydan,,Public Facilities
78954083,Nad Al Shiba First,1100-,,,,,,,,,,,,,,1414.44,6184140,Meydan,,
78954175,Nad Al Shiba First,1101-,,,,,,,,,,,,,,1414.39,6184139,Meydan,,
78956177,Nad Al Shiba First,1102-,,,,,,,,,,,,,,1415.38,6184153,Meydan,,Public Facilities
78956179,Nad Al Shiba First,1103-,,,,,,,,,,,,,,1404.36,6184152,Meydan,,Public Facilities
78956181,Nad Al Shiba First,1104-,,,,,,,,,,,,,,1450.03,6184155,Meydan,,Public Facilities
