p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
139712510,Madinat Al Mataar,493-,Parklane Residence 2,,1213,7.13,1,0.15,12,2 B/R,,,,,,98.03,,Dubai World Central,Parklane Residence,Government Authorities
139712604,Madinat Al Mataar,493-,Parklane Residence 2,,1214,5.67,1,0.15,12,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139712698,Madinat Al Mataar,493-,Parklane Residence 2,,1215,5.82,1,0.1,12,1 B/R,,,,,,62.58,,Dubai World Central,Parklane Residence,Government Authorities
139712792,Madinat Al Mataar,493-,Parklane Residence 2,,1216,11.22,1,0.16,12,2 B/R,,,,,,101.67,,Dubai World Central,Parklane Residence,Government Authorities
139712886,Madinat Al Mataar,493-,Parklane Residence 2,,1401,5.67,1,0.15,14,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139712980,Madinat Al Mataar,493-,Parklane Residence 2,,1402,11.22,1,0.16,14,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139713074,Madinat Al Mataar,493-,Parklane Residence 2,,1403,11.22,1,0.16,14,2 B/R,,,,,,101.96,,Dubai World Central,Parklane Residence,Government Authorities
139713168,Madinat Al Mataar,493-,Parklane Residence 2,,1404,5.85,1,0.15,14,2 B/R,,,,,,97.34,,Dubai World Central,Parklane Residence,Government Authorities
139713262,Madinat Al Mataar,493-,Parklane Residence 2,,1405,6.15,1,0.1,14,1 B/R,,,,,,62.12,,Dubai World Central,Parklane Residence,Government Authorities
139713356,Madinat Al Mataar,493-,Parklane Residence 2,,1406,6.15,1,0.1,14,1 B/R,,,,,,61.91,,Dubai World Central,Parklane Residence,Government Authorities
139713450,Madinat Al Mataar,493-,Parklane Residence 2,,1407,3.23,1,0.05,14,Studio,,,,,,35.07,,Dubai World Central,Parklane Residence,Government Authorities
139713544,Madinat Al Mataar,493-,Parklane Residence 2,,1408,7.13,1,0.15,14,2 B/R,,,,,,98.03,,Dubai World Central,Parklane Residence,Government Authorities
139713638,Madinat Al Mataar,493-,Parklane Residence 2,,1409,5.67,1,0.15,14,2 B/R,,,,,,98.83,,Dubai World Central,Parklane Residence,Government Authorities
139713732,Madinat Al Mataar,493-,Parklane Residence 2,,1410,5.82,1,0.1,14,1 B/R,,,,,,62.59,,Dubai World Central,Parklane Residence,Government Authorities
139713826,Madinat Al Mataar,493-,Parklane Residence 2,,1411,11.22,1,0.16,14,2 B/R,,,,,,101.67,,Dubai World Central,Parklane Residence,Government Authorities
139713920,Madinat Al Mataar,493-,Parklane Residence 3,,,,,,14,,16.0,2.0,,,,,,Dubai World Central,Parklane Residence,Government Authorities
139714078,Madinat Al Mataar,493-,Parklane Residence 3,,R1,0.0,1,7.06,G,,,,,,,84.53,,Dubai World Central,Parklane Residence,Government Authorities
139714172,Madinat Al Mataar,493-,Parklane Residence 3,,R2,0.0,1,7.14,G,,,,,,,85.48,,Dubai World Central,Parklane Residence,Government Authorities
139714266,Madinat Al Mataar,493-,Parklane Residence 3,,101,12.6,1,0.11,1,1 B/R,,,,,,68.58,,Dubai World Central,Parklane Residence,Government Authorities
139714360,Madinat Al Mataar,493-,Parklane Residence 3,,102,12.3,1,0.1,1,1 B/R,,,,,,67.6,,Dubai World Central,Parklane Residence,Government Authorities
139714454,Madinat Al Mataar,493-,Parklane Residence 3,,103,12.0,1,0.16,1,2 B/R,,,,,,101.66,,Dubai World Central,Parklane Residence,Government Authorities
139714548,Madinat Al Mataar,493-,Parklane Residence 3,,104,5.85,2,0.21,1,3 B/R,,,,,,134.54,,Dubai World Central,Parklane Residence,Government Authorities
139714642,Madinat Al Mataar,493-,Parklane Residence 3,,201,6.08,1,0.15,2,2 B/R,,,,,,97.17,,Dubai World Central,Parklane Residence,Government Authorities
