p-number,location,unit,name,registration_number,unit_2,location_2,parking_number,location_3,floor,rooms_description,levels,shops,flats,offices,age,location_4,municipality_number,building,building_2,building_3
51439302,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486492,,Villanova Amaranta ,Commercial
51438814,Wadi Al Safa 5,3901-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486492,,Villanova Amaranta ,Commercial
51437838,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486493,,Villanova Amaranta ,Commercial
51437960,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486493,,Villanova Amaranta ,Commercial
51438082,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486493,,Villanova Amaranta ,Commercial
51438204,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486493,,Villanova Amaranta ,Commercial
51438326,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486493,,Villanova Amaranta ,Commercial
185925980,Wadi Al Safa 5,3902-,,,,,,,,,,,,,,4350.39,6486493,,Villanova Amaranta ,Commercial
51436496,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486493,,Villanova Amaranta ,Commercial
51436618,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486493,,Villanova Amaranta ,Commercial
51436740,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486493,,Villanova Amaranta ,Commercial
51436862,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486493,,Villanova Amaranta ,Commercial
51436984,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486493,,Villanova Amaranta ,Commercial
51437106,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486493,,Villanova Amaranta ,Commercial
51437228,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486493,,Villanova Amaranta ,Commercial
51437350,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486493,,Villanova Amaranta ,Commercial
51437472,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486493,,Villanova Amaranta ,Commercial
51437594,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486493,,Villanova Amaranta ,Commercial
51437716,Wadi Al Safa 5,3902-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486493,,Villanova Amaranta ,Commercial
51431250,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486494,,Villanova Amaranta ,Commercial
51431372,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486494,,Villanova Amaranta ,Commercial
51431494,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,182.25,6486494,,Villanova Amaranta ,Commercial
185925982,Wadi Al Safa 5,3903-,,,,,,,,,,,,,,13359.51,6486494,,Villanova Amaranta ,Commercial
51430640,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,154.29,6486494,,Villanova Amaranta ,Commercial
51430762,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,185.57,6486494,,Villanova Amaranta ,Commercial
51430884,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,197.75,6486494,,Villanova Amaranta ,Commercial
51431006,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486494,,Villanova Amaranta ,Commercial
51431128,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,2 B/R,,,,,,157.62,6486494,,Villanova Amaranta ,Commercial
51435520,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,154.01,6486494,,Villanova Amaranta ,Commercial
51435642,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,185.12,6486494,,Villanova Amaranta ,Commercial
51435764,Wadi Al Safa 5,3903-,,,,,,0.0,2.0,3 B/R,,,,,,197.47,6486494,,Villanova Amaranta ,Commercial
